Overall Food Insecurity Rate,# of Food Insecure Persons Overall,SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,Rural-Urban Continuum Code (2013),Rural-Urban Continuum Code (2023),Census Region,Census Division,FNS Region,Overall Food Insecurity Rate MissingFlag,Child Food Insecurity Rate MissingFlag,CountyFIPS
0.116,2330.0,1.3,0.609,0.391,0.188,820.0,0.94,0.06,3.26,18.96,1340000.0,7.0,7.0,South,South Atlantic,Southeast,0,0,13303
0.14,4220.0,1.3,0.59,0.41,0.145,1070.0,0.87,0.13,3.21,18.69,2392000.0,6.0,6.0,South,South Atlantic,Southeast,0,0,13305
0.139,330.0,1.3,0.589,0.411,0.171,90.0,0.58,0.42,3.73,21.75,218000.0,8.0,8.0,South,South Atlantic,Southeast,0,0,13307
0.122,920.0,1.3,0.623,0.377,0.137,170.0,0.87,0.13,3.26,18.96,529000.0,9.0,9.0,South,South Atlantic,Southeast,0,0,13309
0.114,3170.0,1.3,0.407,0.593,0.085,460.0,0.97,0.03,3.29,19.15,1841000.0,6.0,6.0,South,South Atlantic,Southeast,0,0,13311
0.112,11540.0,1.3,0.511,0.489,0.087,2330.0,1.0,0.0,3.3,19.21,6723000.0,3.0,3.0,South,South Atlantic,Southeast,0,0,13313
0.132,1170.0,1.3,0.455,0.545,0.158,270.0,0.91,0.09,3.23,18.8,667000.0,8.0,8.0,South,South Atlantic,Southeast,0,0,13315
0.129,1240.0,1.3,0.552,0.448,0.211,430.0,0.7,0.3,3.08,17.96,675000.0,6.0,6.0,South,South Atlantic,Southeast,0,0,13317
0.131,1170.0,1.3,0.623,0.377,0.201,410.0,0.61,0.39,3.54,20.63,732000.0,8.0,8.0,South,South Atlantic,Southeast,0,0,13319
0.127,2650.0,1.3,0.541,0.459,0.168,770.0,0.8,0.2,3.13,18.22,1465000.0,3.0,3.0,South,South Atlantic,Southeast,0,0,13321
0.114,22830.0,2.0,0.675,0.325,0.182,7870.0,0.63,0.37,5.06,29.49,20422000.0,5.0,5.0,West,Pacific,Western,0,0,15001
0.098,99870.0,2.0,0.49,0.51,0.151,32690.0,0.49,0.52,4.76,27.73,84019000.0,2.0,2.0,West,Pacific,Western,0,0,15003
0.21,10.0,2.0,0.542,0.458,0.194,0.0,0.0,1.0,5.54,32.27,10000.0,3.0,3.0,West,Pacific,Western,0,0,15005
0.108,7890.0,2.0,0.595,0.405,0.167,2660.0,0.56,0.44,5.08,29.58,7080000.0,5.0,5.0,West,Pacific,Western,0,0,15007
0.106,17430.0,2.0,0.516,0.484,0.155,5540.0,0.45,0.55,5.54,32.27,17063000.0,3.0,3.0,West,Pacific,Western,0,0,15009
0.069,33460.0,1.3,0.422,0.578,0.062,7040.0,0.76,0.24,4.4,25.64,26021000.0,2.0,2.0,West,Mountain,Western,0,0,16001
0.12,520.0,1.3,0.529,0.471,0.154,110.0,0.64,0.36,4.11,23.94,378000.0,9.0,9.0,West,Mountain,Western,0,0,16003
0.096,8300.0,1.3,0.536,0.464,0.098,2220.0,0.83,0.17,3.87,22.55,5677000.0,3.0,3.0,West,Mountain,Western,0,0,16005
0.088,560.0,1.3,0.556,0.444,0.101,180.0,0.83,0.17,3.64,21.19,360000.0,9.0,9.0,West,Mountain,Western,0,0,16007
0.123,1170.0,1.3,0.551,0.449,0.149,320.0,0.73,0.27,4.13,24.03,853000.0,6.0,6.0,West,Mountain,Western,0,0,16009
0.084,3980.0,1.3,0.571,0.429,0.095,1390.0,0.94,0.06,3.52,20.51,2477000.0,4.0,4.0,West,Mountain,Western,0,0,16011
0.07,1670.0,1.3,0.487,0.513,0.095,500.0,0.91,0.09,5.08,29.58,1499000.0,7.0,7.0,West,Mountain,Western,0,0,16013
0.09,680.0,1.3,0.45,0.55,0.121,140.0,0.75,0.25,4.4,25.64,529000.0,2.0,2.0,West,Mountain,Western,0,0,16015
0.098,4580.0,1.3,0.517,0.483,0.12,1100.0,0.75,0.26,3.87,22.55,3133000.0,6.0,6.0,West,Mountain,Western,0,0,16017
0.077,9380.0,1.3,0.473,0.527,0.084,3140.0,0.94,0.07,3.79,22.09,6285000.0,3.0,3.0,West,Mountain,Western,0,0,16019
0.116,1390.0,1.3,0.509,0.491,0.145,410.0,0.63,0.37,3.87,22.55,951000.0,7.0,7.0,West,Mountain,Western,0,0,16021
0.132,340.0,1.3,0.624,0.376,0.164,100.0,0.84,0.16,5.08,29.58,305000.0,3.0,3.0,West,Mountain,Western,0,0,16023
0.111,120.0,1.3,0.489,0.511,0.143,40.0,0.77,0.23,5.08,29.58,108000.0,9.0,9.0,West,Mountain,Western,0,0,16025
0.084,19000.0,1.3,0.549,0.451,0.096,6160.0,0.86,0.15,3.71,21.6,12451000.0,2.0,2.0,West,Mountain,Western,0,0,16027
0.058,400.0,1.3,0.443,0.557,0.067,130.0,0.75,0.25,3.87,22.55,274000.0,6.0,6.0,West,Mountain,Western,0,0,16029
0.079,1940.0,1.3,0.563,0.437,0.092,710.0,0.99,0.01,3.45,20.11,1183000.0,7.0,7.0,West,Mountain,Western,0,0,16031
0.057,50.0,1.3,0.604,0.396,0.082,20.0,1.0,0.0,3.48,20.25,31000.0,9.0,9.0,West,Mountain,Western,0,0,16033
0.123,1070.0,1.3,0.461,0.539,0.154,220.0,0.74,0.26,4.68,27.26,885000.0,6.0,6.0,West,Mountain,Western,0,0,16035
0.129,550.0,1.3,0.596,0.404,0.166,120.0,0.77,0.23,5.08,29.58,494000.0,8.0,8.0,West,Mountain,Western,0,0,16037
0.108,3060.0,1.3,0.581,0.419,0.132,960.0,0.87,0.13,3.62,21.06,1954000.0,6.0,6.0,West,Mountain,Western,0,0,16039
0.073,1020.0,1.3,0.529,0.471,0.083,370.0,0.98,0.03,3.64,21.19,656000.0,3.0,3.0,West,Mountain,Western,0,0,16041
0.085,1140.0,1.3,0.49,0.51,0.1,340.0,0.71,0.29,3.48,20.25,700000.0,6.0,6.0,West,Mountain,Western,0,0,16043
0.098,1840.0,1.3,0.413,0.587,0.125,530.0,0.68,0.32,3.71,21.6,1206000.0,2.0,2.0,West,Mountain,Western,0,0,16045
0.095,1460.0,1.3,0.514,0.486,0.113,480.0,0.73,0.27,3.49,20.3,899000.0,7.0,7.0,West,Mountain,Western,0,0,16047
0.108,1780.0,1.3,0.568,0.432,0.123,400.0,0.9,0.1,4.68,27.26,1472000.0,6.0,6.0,West,Mountain,Western,0,0,16049
0.056,1710.0,1.3,0.543,0.457,0.055,570.0,1.0,0.0,3.73,21.73,1127000.0,3.0,3.0,West,Mountain,Western,0,0,16051
0.091,2200.0,1.3,0.605,0.395,0.119,880.0,0.8,0.21,3.49,20.3,1355000.0,7.0,7.0,West,Mountain,Western,0,0,16053
0.087,14580.0,1.3,0.476,0.524,0.104,4020.0,0.75,0.26,4.13,24.03,10627000.0,3.0,3.0,West,Mountain,Western,0,0,16055
0.09,3540.0,1.3,0.57,0.43,0.075,560.0,0.78,0.22,4.19,24.42,2623000.0,4.0,4.0,West,Mountain,Western,0,0,16057
0.108,860.0,1.3,0.541,0.459,0.138,200.0,0.69,0.31,4.53,26.4,689000.0,7.0,7.0,West,Mountain,Western,0,0,16059
0.134,480.0,1.3,0.628,0.372,0.184,150.0,0.77,0.23,4.68,27.26,397000.0,8.0,8.0,West,Mountain,Western,0,0,16061
0.087,450.0,1.3,0.6,0.4,0.113,160.0,0.86,0.14,3.49,20.3,277000.0,9.0,9.0,West,Mountain,Western,0,0,16063
0.093,4740.0,1.3,0.791,0.209,0.084,1160.0,1.0,0.0,3.48,20.25,2912000.0,4.0,4.0,West,Mountain,Western,0,0,16065
0.103,2210.0,1.3,0.567,0.433,0.124,780.0,0.8,0.2,3.21,18.69,1253000.0,7.0,7.0,West,Mountain,Western,0,0,16067
0.104,4350.0,1.3,0.542,0.458,0.114,1040.0,0.68,0.32,4.68,27.26,3597000.0,3.0,3.0,West,Mountain,Western,0,0,16069
0.076,340.0,1.3,0.455,0.545,0.076,90.0,0.64,0.36,3.64,21.19,219000.0,8.0,8.0,West,Mountain,Western,0,0,16071
0.107,1270.0,1.3,0.533,0.467,0.14,420.0,0.74,0.26,3.71,21.6,832000.0,2.0,2.0,West,Mountain,Western,0,0,16073
0.091,2280.0,1.3,0.468,0.532,0.108,710.0,0.81,0.19,4.11,23.94,1655000.0,6.0,6.0,West,Mountain,Western,0,0,16075
0.075,590.0,1.3,0.718,0.282,0.087,210.0,1.0,0.0,3.87,22.55,404000.0,6.0,6.0,West,Mountain,Western,0,0,16077
0.141,1850.0,1.3,0.667,0.333,0.179,480.0,0.67,0.33,4.13,24.03,1348000.0,6.0,6.0,West,Mountain,Western,0,0,16079
0.054,620.0,1.3,0.493,0.507,0.035,100.0,1.0,0.0,5.37,31.26,588000.0,9.0,9.0,West,Mountain,Western,0,0,16081
0.09,8020.0,1.3,0.551,0.449,0.106,2580.0,0.81,0.19,3.83,22.29,5423000.0,5.0,5.0,West,Mountain,Western,0,0,16083
0.089,1020.0,1.3,0.472,0.528,0.085,160.0,1.0,0.0,4.11,23.94,741000.0,8.0,8.0,West,Mountain,Western,0,0,16085
0.109,1130.0,1.3,0.61,0.39,0.126,300.0,1.0,0.0,4.11,23.94,820000.0,6.0,6.0,West,Mountain,Western,0,0,16087
0.094,6170.0,1.65,0.651,0.349,0.095,1430.0,0.86,0.14,3.55,20.65,3865000.0,5.0,5.0,Midwest,East North Central,Midwest,0,0,17001
0.147,810.0,1.65,0.783,0.217,0.247,310.0,0.76,0.24,3.37,19.6,482000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17003
0.107,1800.0,1.65,0.632,0.368,0.12,380.0,0.81,0.19,3.52,20.49,1119000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17005
0.091,4880.0,1.65,0.577,0.423,0.097,1290.0,0.75,0.25,3.45,20.11,2976000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17007
0.075,470.0,1.65,0.572,0.428,0.069,80.0,1.0,0.0,3.55,20.65,294000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17009
0.097,3220.0,1.65,0.675,0.325,0.098,700.0,0.94,0.06,3.45,20.12,1965000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17011
0.084,380.0,1.65,0.487,0.513,0.066,60.0,0.56,0.44,3.13,18.22,210000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17013
0.09,1410.0,1.65,0.659,0.341,0.094,290.0,1.0,0.0,3.49,20.33,869000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17015
0.093,1220.0,1.65,0.751,0.249,0.096,310.0,0.94,0.06,3.24,18.88,699000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17017
0.095,19620.0,1.65,0.679,0.321,0.096,3800.0,0.86,0.14,3.72,21.67,12896000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17019
0.095,3240.0,1.65,0.692,0.308,0.092,670.0,0.94,0.06,3.36,19.57,1923000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17021
0.084,1310.0,1.65,0.56,0.44,0.073,260.0,0.71,0.3,3.34,19.44,773000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17023
0.122,1620.0,1.65,0.722,0.278,0.13,400.0,0.95,0.05,3.43,19.96,981000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17025
0.07,2580.0,1.65,0.574,0.426,0.055,440.0,1.0,0.0,3.52,20.49,1603000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17027
0.133,6300.0,1.65,0.65,0.35,0.138,1190.0,0.71,0.29,3.33,19.42,3711000.0,5.0,5.0,Midwest,East North Central,Midwest,0,0,17029
0.092,483790.0,1.65,0.602,0.398,0.13,149350.0,0.69,0.31,4.08,23.74,348348000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17031
0.093,1750.0,1.65,0.594,0.406,0.084,310.0,0.84,0.16,3.11,18.09,960000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17033
0.084,880.0,1.65,0.549,0.451,0.067,160.0,0.73,0.27,3.33,19.42,518000.0,9.0,9.0,Midwest,East North Central,Midwest,0,0,17035
0.099,10010.0,1.65,0.59,0.41,0.109,2400.0,0.69,0.31,3.9,22.72,6897000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17037
0.087,1370.0,1.65,0.678,0.322,0.086,290.0,1.0,0.0,3.42,19.91,827000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17039
0.078,1540.0,1.65,0.704,0.296,0.066,330.0,1.0,0.0,3.33,19.42,907000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17041
0.058,54320.0,1.65,0.458,0.542,0.031,6570.0,1.0,0.0,4.2,24.46,40310000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17043
0.101,1720.0,1.65,0.706,0.294,0.1,340.0,0.98,0.02,3.34,19.44,1014000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17045
0.11,680.0,1.65,0.64,0.36,0.101,140.0,0.79,0.21,3.15,18.32,378000.0,9.0,9.0,Midwest,East North Central,Midwest,0,0,17047
0.086,2970.0,1.65,0.629,0.371,0.078,650.0,0.8,0.2,3.43,19.96,1799000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17049
0.121,2610.0,1.65,0.673,0.327,0.13,590.0,0.84,0.16,3.27,19.04,1508000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17051
0.099,1340.0,1.65,0.648,0.352,0.091,280.0,0.89,0.11,3.72,21.67,881000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17053
0.142,5400.0,1.65,0.718,0.282,0.155,1320.0,0.8,0.2,3.19,18.58,3043000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17055
0.106,3600.0,1.65,0.666,0.334,0.119,800.0,0.85,0.15,3.59,20.91,2283000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17057
0.132,670.0,1.65,0.679,0.321,0.146,150.0,0.79,0.21,3.2,18.65,379000.0,8.0,8.0,Midwest,East North Central,Midwest,0,0,17059
0.103,1250.0,1.65,0.717,0.283,0.111,290.0,1.0,0.0,3.13,18.22,691000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17061
0.066,3450.0,1.65,0.529,0.471,0.047,620.0,0.98,0.02,3.79,22.1,2313000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17063
0.107,860.0,1.65,0.763,0.237,0.109,190.0,1.0,0.0,3.2,18.65,486000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17065
0.098,1740.0,1.65,0.64,0.36,0.098,360.0,0.92,0.08,3.5,20.36,1075000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17067
0.135,500.0,1.65,0.681,0.319,0.146,70.0,1.0,0.0,3.2,18.65,283000.0,9.0,9.0,Midwest,East North Central,Midwest,0,0,17069
0.083,540.0,1.65,0.636,0.364,0.097,120.0,0.9,0.11,3.62,21.09,346000.0,9.0,9.0,Midwest,East North Central,Midwest,0,0,17071
0.083,4120.0,1.65,0.566,0.434,0.083,920.0,0.79,0.21,3.54,20.62,2577000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17073
0.093,2550.0,1.65,0.741,0.259,0.082,490.0,1.0,0.0,3.23,18.8,1454000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17075
0.134,7180.0,1.65,0.776,0.224,0.161,1630.0,0.76,0.24,3.49,20.33,4427000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17077
0.098,910.0,1.65,0.623,0.377,0.099,210.0,0.78,0.22,3.43,19.96,551000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17079
0.118,4400.0,1.65,0.656,0.344,0.152,1280.0,0.78,0.22,3.34,19.48,2600000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17081
0.072,1550.0,1.65,0.535,0.465,0.048,210.0,0.89,0.12,3.13,18.22,857000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17083
0.084,1850.0,1.65,0.62,0.38,0.082,340.0,0.96,0.04,3.56,20.71,1162000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17085
0.098,1300.0,1.65,0.525,0.475,0.111,280.0,0.81,0.19,3.44,20.04,790000.0,8.0,8.0,Midwest,East North Central,Midwest,0,0,17087
0.066,34090.0,1.65,0.557,0.443,0.063,8250.0,0.85,0.15,3.86,22.51,23276000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17089
0.1,10780.0,1.65,0.63,0.37,0.128,3170.0,0.77,0.24,3.59,20.91,6836000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17091
0.04,5220.0,1.65,0.436,0.564,0.032,1180.0,0.88,0.12,3.69,21.48,3401000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17093
0.116,5830.0,1.65,0.705,0.295,0.13,1300.0,0.99,0.02,3.57,20.78,3676000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17095
0.065,46520.0,1.65,0.528,0.472,0.054,9340.0,0.92,0.08,4.11,23.94,33776000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17097
0.104,11430.0,1.65,0.579,0.421,0.119,2820.0,0.77,0.23,3.65,21.23,7361000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17099
0.112,1720.0,1.65,0.599,0.401,0.141,420.0,0.84,0.16,3.19,18.57,969000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17101
0.098,3370.0,1.65,0.533,0.467,0.092,630.0,0.67,0.33,3.49,20.34,2079000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17103
0.099,3540.0,1.65,0.613,0.387,0.108,850.0,0.93,0.07,3.51,20.44,2194000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17105
0.091,2560.0,1.65,0.506,0.494,0.085,460.0,0.76,0.24,3.33,19.37,1504000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17107
0.112,3120.0,1.65,0.734,0.266,0.104,500.0,0.84,0.16,3.56,20.73,1962000.0,5.0,5.0,Midwest,East North Central,Midwest,0,0,17109
0.059,18480.0,1.65,0.441,0.559,0.04,2890.0,0.9,0.1,3.87,22.54,12632000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17111
0.085,14520.0,1.65,0.62,0.38,0.068,2500.0,0.81,0.19,3.72,21.68,9547000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17113
0.114,11930.0,1.65,0.609,0.391,0.159,3740.0,0.66,0.34,3.42,19.91,7205000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17115
0.106,4770.0,1.65,0.682,0.318,0.109,1050.0,0.89,0.11,3.46,20.13,2913000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17117
0.093,24780.0,1.65,0.602,0.398,0.106,6170.0,0.72,0.28,3.58,20.88,15691000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17119
0.124,4690.0,1.65,0.702,0.298,0.149,1330.0,0.83,0.18,3.08,17.95,2553000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17121
0.096,1130.0,1.65,0.594,0.406,0.095,230.0,0.77,0.24,4.02,23.44,803000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17123
0.112,1480.0,1.65,0.667,0.333,0.122,340.0,0.87,0.13,3.59,20.91,939000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17125
0.116,1650.0,1.65,0.684,0.316,0.123,390.0,0.83,0.17,3.33,19.39,971000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17127
0.075,920.0,1.65,0.514,0.486,0.059,170.0,1.0,0.0,3.8,22.11,617000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17129
0.088,1390.0,1.65,0.638,0.362,0.086,290.0,0.94,0.06,3.63,21.13,891000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17131
0.046,1600.0,1.65,0.409,0.591,0.008,60.0,1.0,0.0,3.62,21.1,1024000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17133
0.112,3200.0,1.65,0.555,0.445,0.105,610.0,0.73,0.27,3.31,19.28,1872000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17135
0.105,3500.0,1.65,0.671,0.329,0.126,800.0,0.9,0.1,3.24,18.88,2005000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17137
0.076,1110.0,1.65,0.596,0.404,0.07,260.0,0.82,0.18,3.18,18.55,625000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17139
0.092,4740.0,1.65,0.622,0.378,0.092,1080.0,0.82,0.18,3.68,21.45,3084000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17141
0.108,19700.0,1.65,0.638,0.362,0.148,6470.0,0.73,0.27,3.74,21.77,13008000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17143
0.133,2810.0,1.65,0.604,0.396,0.166,680.0,0.73,0.27,3.14,18.3,1560000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17145
0.065,1080.0,1.65,0.525,0.475,0.043,160.0,1.0,0.0,3.72,21.67,710000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17147
0.103,1530.0,1.65,0.724,0.276,0.098,330.0,0.97,0.03,3.28,19.1,886000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17149
0.128,490.0,1.65,0.66,0.34,0.156,110.0,0.79,0.21,3.2,18.65,277000.0,8.0,8.0,Midwest,East North Central,Midwest,0,0,17151
0.136,720.0,1.65,0.806,0.194,0.225,250.0,0.71,0.29,3.39,19.74,431000.0,8.0,8.0,Midwest,East North Central,Midwest,0,0,17153
0.09,510.0,1.65,0.488,0.512,0.081,90.0,0.72,0.28,3.45,20.12,311000.0,8.0,8.0,Midwest,East North Central,Midwest,0,0,17155
0.098,3010.0,1.65,0.622,0.378,0.115,680.0,0.86,0.14,3.31,19.28,1761000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17157
0.106,1690.0,1.65,0.652,0.348,0.103,390.0,0.75,0.26,3.19,18.57,952000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17159
0.1,14530.0,1.65,0.642,0.358,0.137,4450.0,0.75,0.25,3.63,21.13,9314000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17161
0.09,23160.0,1.65,0.623,0.377,0.156,9520.0,0.65,0.35,3.74,21.81,15319000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17163
0.139,3310.0,1.65,0.742,0.258,0.145,750.0,0.92,0.09,3.2,18.65,1872000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17165
0.099,19510.0,1.65,0.585,0.415,0.127,5590.0,0.68,0.32,3.8,22.11,13088000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17167
0.121,840.0,1.65,0.594,0.406,0.085,100.0,0.64,0.36,3.56,20.73,528000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17169
0.095,470.0,1.65,0.613,0.387,0.101,110.0,0.77,0.23,3.24,18.88,269000.0,9.0,9.0,Midwest,East North Central,Midwest,0,0,17171
0.086,1830.0,1.65,0.662,0.338,0.077,350.0,1.0,0.0,3.18,18.55,1030000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17173
0.099,540.0,1.65,0.613,0.387,0.109,130.0,0.69,0.31,3.54,20.62,338000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17175
0.105,4710.0,1.65,0.691,0.309,0.138,1340.0,0.81,0.19,3.73,21.74,3107000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17177
0.081,10750.0,1.65,0.574,0.426,0.065,1960.0,0.95,0.05,3.49,20.32,6627000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17179
0.13,2240.0,1.65,0.695,0.305,0.131,480.0,0.79,0.21,3.49,20.33,1381000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17181
0.117,8800.0,1.65,0.694,0.306,0.173,3080.0,0.77,0.23,3.46,20.15,5379000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17183
0.111,1270.0,1.65,0.724,0.276,0.113,290.0,0.83,0.17,3.15,18.32,706000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17185
0.09,1520.0,1.65,0.606,0.394,0.091,330.0,0.95,0.05,3.57,20.78,958000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17187
0.068,940.0,1.65,0.574,0.426,0.057,170.0,0.86,0.14,3.52,20.49,584000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17189
0.109,1770.0,1.65,0.761,0.239,0.116,430.0,1.0,0.0,3.34,19.48,1046000.0,7.0,7.0,Midwest,East North Central,Midwest,0,0,17191
0.121,1690.0,1.65,0.772,0.228,0.127,390.0,0.99,0.01,3.4,19.81,1015000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,17193
0.094,5250.0,1.65,0.604,0.396,0.105,1310.0,0.78,0.22,3.49,20.33,3237000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,17195
0.055,38300.0,1.65,0.514,0.486,0.055,9490.0,0.81,0.19,3.8,22.14,25717000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,17197
0.114,7700.0,1.65,0.649,0.351,0.127,1870.0,0.78,0.22,3.44,20.04,4680000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,17199
0.119,33880.0,1.65,0.668,0.332,0.17,11430.0,0.76,0.24,3.69,21.48,22075000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17201
0.063,2450.0,1.65,0.49,0.51,0.034,310.0,1.0,0.0,4.02,23.44,1742000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,17203
0.101,3610.0,1.3,0.695,0.305,0.095,1070.0,1.0,0.0,3.06,17.84,1953000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,18001
0.099,37950.0,1.3,0.555,0.445,0.127,12530.0,0.82,0.19,3.37,19.62,22586000.0,2.0,2.0,Midwest,East North Central,Midwest,0,0,18003
0.104,8520.0,1.3,0.483,0.517,0.103,2030.0,0.85,0.15,3.36,19.56,5054000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,18005
0.124,1080.0,1.3,0.748,0.252,0.15,330.0,0.94,0.06,3.45,20.07,658000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,18007
0.144,1740.0,1.3,0.622,0.378,0.148,400.0,1.0,0.0,3.23,18.79,992000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,18009
0.067,4690.0,1.3,0.319,0.681,0.03,560.0,0.97,0.04,3.61,21.05,2994000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,18011
0.09,1390.0,1.3,0.453,0.547,0.092,250.0,0.78,0.22,3.36,19.56,825000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,18013
0.086,1740.0,1.3,0.403,0.597,0.091,410.0,1.0,0.0,3.39,19.73,1042000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,18015
0.112,4230.0,1.3,0.616,0.384,0.118,1030.0,1.0,0.0,3.11,18.1,2323000.0,4.0,4.0,Midwest,East North Central,Midwest,0,0,18017
0.095,11400.0,1.3,0.499,0.501,0.11,2980.0,0.86,0.14,3.37,19.61,6781000.0,1.0,1.0,Midwest,East North Central,Midwest,0,0,18019
0.108,2840.0,1.3,0.472,0.528,0.113,700.0,0.8,0.2,3.18,18.51,1595000.0,3.0,3.0,Midwest,East North Central,Midwest,0,0,18021
0.094,3110.0,1.3,0.526,0.474,0.096,840.0,1.0,0.0,3.03,17.63,1663000.0,6.0,6.0,Midwest,East North Central,Midwest,0,0,18023
