Overall Food Insecurity Rate,# of Food Insecure Persons Overall,SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,Rural-Urban Continuum Code (2013),Rural-Urban Continuum Code (2023),Census Region,Census Division,FNS Region,Overall Food Insecurity Rate MissingFlag,Child Food Insecurity Rate MissingFlag,CountyFIPS
0.111,13820.0,1.85,0.729,0.271,0.162,4350.0,0.76,0.24,3.39,19.73,8272000.0,3.0,3.0,West,Mountain,Southwest,0,0,04003
0.126,18240.0,1.85,0.684,0.316,0.144,4250.0,0.75,0.25,3.96,23.04,12747000.0,3.0,3.0,West,Mountain,Southwest,0,0,04005
0.14,7430.0,1.85,0.746,0.254,0.199,2110.0,0.76,0.24,3.55,20.68,4661000.0,4.0,4.0,West,Mountain,Southwest,0,0,04007
0.123,4680.0,1.85,0.679,0.321,0.151,1540.0,0.79,0.21,3.48,20.28,2879000.0,7.0,7.0,West,Mountain,Southwest,0,0,04009
0.096,910.0,1.85,0.484,0.516,0.137,360.0,0.4,0.6,3.48,20.28,560000.0,7.0,7.0,West,Mountain,Southwest,0,0,04011
0.15,2520.0,1.85,0.835,0.165,0.211,590.0,0.7,0.3,3.58,20.83,1593000.0,6.0,6.0,West,Mountain,Southwest,0,0,04012
0.092,400830.0,1.85,0.61,0.39,0.125,129680.0,0.69,0.32,3.59,20.91,254251000.0,1.0,1.0,West,Mountain,Southwest,0,0,04013
0.136,28830.0,1.85,0.763,0.237,0.199,7140.0,0.76,0.24,3.58,20.83,18219000.0,3.0,3.0,West,Mountain,Southwest,0,0,04015
0.167,17820.0,1.85,0.818,0.182,0.217,6140.0,0.86,0.14,3.53,20.54,11103000.0,4.0,4.0,West,Mountain,Southwest,0,0,04017
0.109,112480.0,1.85,0.69,0.31,0.147,31790.0,0.7,0.31,3.58,20.83,71064000.0,2.0,2.0,West,Mountain,Southwest,0,0,04019
0.091,38480.0,1.85,0.674,0.326,0.132,12570.0,0.74,0.27,3.43,20.0,23347000.0,1.0,1.0,West,Mountain,Southwest,0,0,04021
0.132,6280.0,1.85,0.847,0.153,0.184,2370.0,0.75,0.25,3.0,17.46,3326000.0,4.0,4.0,West,Mountain,Southwest,0,0,04023
0.108,25310.0,1.85,0.702,0.298,0.146,5520.0,0.71,0.29,3.81,22.2,17043000.0,3.0,3.0,West,Mountain,Southwest,0,0,04025
0.146,29710.0,1.85,0.796,0.204,0.212,10930.0,0.75,0.25,3.21,18.7,16853000.0,3.0,3.0,West,Mountain,Southwest,0,0,04027
0.144,2500.0,1.3,0.553,0.447,0.184,740.0,0.64,0.36,3.33,19.38,1469000.0,6.0,6.0,South,West South Central,Southwest,0,0,05001
0.175,3380.0,1.3,0.689,0.311,0.252,1120.0,0.83,0.17,3.22,18.74,1921000.0,7.0,7.0,South,West South Central,Southwest,0,0,05003
0.162,6730.0,1.3,0.59,0.41,0.18,1330.0,0.86,0.14,3.57,20.76,4239000.0,7.0,7.0,South,West South Central,Southwest,0,0,05005
0.107,29770.0,1.3,0.341,0.659,0.09,6570.0,0.76,0.24,3.6,20.97,18932000.0,2.0,2.0,South,West South Central,Southwest,0,0,05007
0.15,5610.0,1.3,0.48,0.52,0.139,1200.0,0.91,0.09,3.4,19.83,3374000.0,7.0,7.0,South,West South Central,Southwest,0,0,05009
0.142,1500.0,1.3,0.666,0.334,0.2,520.0,0.77,0.23,3.35,19.52,888000.0,7.0,7.0,South,West South Central,Southwest,0,0,05011
